tab,card,file,db_reads,db_writes,api_endpoints,visible_to,plan_gated,last_commit_date,decision,notes
Overview,LiveCallBanner (live calls strip),src/components/dashboard/LiveCallBanner.tsx,"call_logs(call_status=live)",call_logs(end),GET /api/dashboard/home; POST /api/dashboard/calls/[id]/end,both,no,active,keep,Realtime banner; End button verified wired
Overview,UpgradeSuccessBanner (?upgraded=true),src/components/dashboard/ClientHomeV2.tsx,none,none,none,both,no,active,keep,Pure URL-param banner; cheap
Overview,TrialWelcomeBanner,src/components/dashboard/home/TrialWelcomeBanner.tsx,clients.trial_*,localStorage,none,both,no,active,keep,Dismissable; trial-only
Overview,Tab segmented control (Overview/Activity),src/components/dashboard/ClientHomeV2.tsx:416,none,URL ?tab,none,both,no,active,keep,Cheap toggle to hide secondary stats
Overview,Inline toast strip (trial-expiry / minutes-warn / sync-error),src/components/dashboard/home/UnifiedHomeSectionV2.tsx:101,clients.subscription_status; clients.seconds_used; clients.last_agent_sync_status,none,none,both,no,active,keep,Three conditional toasts; the only sync-error visibility for D442 legacy snowflakes
Overview,AgentIdentityCardCompact (10 chips + avatar),src/components/dashboard/home/AgentIdentityCardCompact.tsx,clients.agent_name; clients.business_name; clients.agent_voice_id; clients.twilio_number; clients.injected_note; agent_sync,none,none (delegates to InlineModalsV2),both,no,active,keep,Single canonical identity surface for v2; replaces VoicePickerDropdown/AgentSpeaksCard/TodayUpdateCard
Overview,InlineModalsV2 / GreetingModal,src/components/dashboard/home/InlineModalsV2.tsx,niche_custom_variables.GREETING_LINE,niche_custom_variables.GREETING_LINE,GET/PATCH /api/dashboard/variables,both,no,active,investigate,"FAKE CONTROL on 4/5 legacy clients per D442 — regenerateSlots returns success:false because hasSlotMarkers()=false; no FieldSyncStatusChip on this modal; field_sync_status exists in PATCH response but isn't surfaced here. Also PROMPT_VARIABLE_REGISTRY[GREETING_LINE].editable=false per D442 §1, but PATCH route does not enforce editable flag"
Overview,InlineModalsV2 / IdentityModal (agent_name + business_name),src/components/dashboard/home/InlineModalsV2.tsx,clients.agent_name; clients.business_name,clients.agent_name; clients.business_name,PATCH /api/dashboard/settings,both,no,active,keep,Triggers patchAgentName + patchBusinessName + needsAgentSync — WORKS on legacy clients (NAME_FIELDS safety-net path)
Overview,InlineModalsV2 / VoiceModal,src/components/dashboard/home/InlineModalsV2.tsx,clients.agent_voice_id,clients.agent_voice_id,PATCH /api/dashboard/settings,both,no,active,keep,triggersSync:true; updateAgent({voice}) fires immediately
Overview,InlineModalsV2 / AfterCallModal (SMS template + enabled),src/components/dashboard/home/InlineModalsV2.tsx,clients.sms_enabled; clients.sms_template,clients.sms_enabled; clients.sms_template,PATCH /api/dashboard/settings,both,no,active,keep,sms_enabled triggers patchers + sync
